caller_number,called_number,imei,imsi,cell_id,timestamp,ip_address
9876543210,9123456780,860123456789012,404450123456789,TOW-4412,2026-09-10 10:14:22,192.0.2.45
9876543210,9123456781,860123456789012,404450123456789,TOW-4412,2026-09-10 10:20:11,192.0.2.45
9876543210,9123456782,860123456789012,404450123456789,TOW-4415,2026-09-10 11:05:43,192.0.2.48
9876543211,9123456783,358765098765432,404450987654321,TOW-1002,2026-09-10 11:30:19,198.51.100.12
9876543212,9123456784,358765098765433,404450987654322,TOW-1004,2026-09-10 12:15:02,198.51.100.15
9876543213,9123456785,358765098765434,404450987654323,TOW-2201,2026-09-10 13:45:55,203.0.113.88
9876543214,9123456786,358765098765435,404450987654324,TOW-2205,2026-09-10 14:02:11,203.0.113.91
9876543215,9123456787,358765098765436,404450987654325,TOW-3301,2026-09-10 14:40:20,192.0.2.110
9876543216,9123456788,358765098765437,404450987654326,TOW-3303,2026-09-10 15:12:09,192.0.2.112
9876543217,9123456789,358765098765438,404450987654327,TOW-4418,2026-09-10 15:55:30,198.51.100.77
9876543218,9123456790,358765098765439,404450987654328,TOW-5011,2026-09-10 16:21:44,203.0.113.104
9876543219,9123456791,358765098765440,404450987654329,TOW-5015,2026-09-10 17:08:16,203.0.113.109
